Date,Stock Symbol,Open Price,High Price,Low Price,Close Price,Volume
5/08/2024,MSFT.OQ,220.5963828,227.2086649,218.5112759,223.8940248,15995481
5/08/2024,ORCL.N,257.1646768,261.4302986,255.1525911,257.2652811,2893114
5/08/2024,QQQ.OQ,186.1851154,194.1158236,185.8471716,191.0787179,22227369
5/08/2024,SPY.N,178.4811292,182.6538412,178.0275735,180.5360852,4773497
5/08/2024,WMT.N,174.8585668,176.4278433,172.1316273,173.8809847,7277760
6/08/2024,AAPL.OQ,261.0100026,267.2202844,255.9068816,263.7206379,21009209
6/08/2024,AMZN.OQ,130.8679746,133.6036648,128.3265346,131.0622248,16525651
6/08/2024,BAC.N,165.4911792,168.471375,164.9944799,166.7103502,11650097
6/08/2024,GOOGL.OQ,222.2110409,224.0530315,218.2619248,220.8853659,16045221
6/08/2024,JNJ.N,122.1164116,122.4348773,120.5165009,120.5392484,2806222
6/08/2024,JPM.N,223.3552583,232.0379233,222.2785162,229.4835245,3458114
6/08/2024,LLY.N,544.713569,556.7957487,542.2819354,547.9327204,914496
6/08/2024,MSFT.OQ,226.6420597,229.8547109,225.9224712,226.4210837,9193085
6/08/2024,ORCL.N,262.6576708,263.5832303,257.70794,257.9695111,3096959
6/08/2024,QQQ.OQ,192.110105,196.2137089,190.7319963,192.9044925,13778209
6/08/2024,SPY.N,181.1466409,184.809975,180.684363,182.18633,2717465
6/08/2024,WMT.N,174.5241308,176.5564726,174.1125173,174.2668724,5680460
7/08/2024,AAPL.OQ,263.1734205,271.8652699,262.702559,267.0166687,16461775
7/08/2024,AMZN.OQ,134.7772598,135.6351981,130.6737244,131.7421005,14319711
7/08/2024,BAC.N,172.0385792,174.2285716,168.2907572,168.4262206,9997798
7/08/2024,GOOGL.OQ,224.9461178,227.4021052,221.1505009,221.7924067,7681171
7/08/2024,JNJ.N,120.4634232,121.7751983,120.0236373,120.4861707,1995224
7/08/2024,JPM.N,233.1146654,235.6117907,229.3231586,229.5522527,2694830
7/08/2024,LLY.N,536.5827941,543.0521831,527.4158116,533.398183,800740
7/08/2024,MSFT.OQ,231.8944894,232.3364414,225.2085487,225.7524896,6528128
